2023-05-04T05:52:00.493Z [right meow!] info: Server is up and running successfully @ port: 3000
2023-05-18 00:53:25 [api-server logs] info: Server is up and running successfully @ port: undefined
2023-05-18 00:53:29 [api-server logs] info: Server is up and running successfully @ port: undefined
2023-05-18 00:53:38 [api-server logs] info: Server is up and running successfully @ port: undefined
2023-05-18 00:54:19 [api-server logs] info: Server is up and running successfully @ port: undefined
2023-05-18 00:54:48 [api-server logs] info: Server is up and running successfully @ port: undefined
2023-05-18 00:54:51 [api-server logs] info: Server is up and running successfully @ port: undefined
2023-05-18 00:54:52 [api-server logs] info: Server is up and running successfully @ port: undefined
2023-05-18 00:54:55 [api-server logs] info: Server is up and running successfully @ port: undefined
2023-05-18 00:54:58 [api-server logs] info: Server is up and running successfully @ port: undefined
2023-05-18 00:54:59 [api-server logs] info: Server is up and running successfully @ port: undefined
2023-05-18 00:55:06 [api-server logs] info: Server is up and running successfully @ port: undefined
2023-05-18 00:55:14 [api-server logs] info: Server is up and running successfully @ port: undefined
2023-05-18 00:58:46 [api-server logs] info: Server is up and running successfully @ port: undefined
2023-05-18 01:01:00 [api-server logs] info: Server is up and running successfully @ port: undefined
2023-05-18 01:01:25 [api-server logs] info: Server is up and running successfully @ port: undefined
2023-05-18 01:02:57 [api-server logs] info: Server is up and running successfully @ port: undefined
2023-05-18 01:03:14 [api-server logs] info: Server is up and running successfully @ port: undefined
2023-05-18 01:03:23 [api-server logs] info: Server is up and running successfully @ port: undefined
2023-05-18 01:04:30 [api-server logs] info: Server is up and running successfully @ port: undefined
2023-05-18 01:04:35 [api-server logs] info: Server is up and running successfully @ port: undefined
2023-05-18 01:05:17 [api-server logs] info: Server is up and running successfully @ port: 3000
2023-05-18 01:10:18 [api-server logs] info: Server is up and running successfully @ port: undefined
2023-05-18 01:11:48 [api-server logs] info: Server is up and running successfully @ port: undefined
2023-05-18 01:12:18 [api-server logs] info: Server is up and running successfully @ port: undefined
2023-05-18 01:12:33 [api-server logs] info: Server is up and running successfully @ port: undefined
2023-05-18 01:12:47 [api-server logs] info: Server is up and running successfully @ port: undefined
2023-05-18 01:12:57 [api-server logs] info: Server is up and running successfully @ port: undefined
2023-05-18 01:13:07 [api-server logs] info: Server is up and running successfully @ port: undefined
2023-05-18 01:14:04 [api-server logs] info: Server is up and running successfully @ port: 3000
2023-05-18 01:14:11 [api-server logs] info: Server is up and running successfully @ port: undefined
2023-05-18 01:14:13 [api-server logs] info: Server is up and running successfully @ port: undefined
2023-05-18 01:14:16 [api-server logs] info: Server is up and running successfully @ port: undefined
2023-05-18 01:14:17 [api-server logs] info: Server is up and running successfully @ port: undefined
2023-05-18 01:14:34 [api-server logs] info: Server is up and running successfully @ port: undefined
2023-05-18 01:14:35 [api-server logs] info: Server is up and running successfully @ port: undefined
2023-05-18 01:14:42 [api-server logs] info: Server is up and running successfully @ port: undefined
2023-05-18 01:15:39 [api-server logs] info: Server is up and running successfully @ port: undefined
2023-05-18 01:16:06 [api-server logs] info: Server is up and running successfully @ port: undefined
2023-05-18 01:16:08 [api-server logs] info: Server is up and running successfully @ port: undefined
2023-05-18 01:16:10 [api-server logs] info: Server is up and running successfully @ port: undefined
2023-05-18 01:16:12 [api-server logs] info: Server is up and running successfully @ port: undefined
2023-05-18 01:17:01 [api-server logs] info: Server is up and running successfully @ port: undefined
2023-05-18 01:17:36 [api-server logs] info: Server is up and running successfully @ port: undefined
2023-05-18 01:17:51 [api-server logs] info: Server is up and running successfully @ port: undefined
2023-05-18 01:19:05 [api-server logs] info: Server is up and running successfully @ port: undefined
2023-05-18 01:19:14 [api-server logs] info: Server is up and running successfully @ port: undefined
2023-05-18 01:19:34 [api-server logs] info: Server is up and running successfully @ port: 3000
2023-05-18 01:20:36 [api-server logs] info: Server is up and running successfully @ port: 3000
2023-05-18 01:20:42 [api-server logs] info: Server is up and running successfully @ port: 3000
2023-05-18 01:20:44 [api-server logs] info: Server is up and running successfully @ port: 3000
2023-05-18 01:20:50 [api-server logs] info: Server is up and running successfully @ port: 3000
2023-05-18 01:20:57 [api-server logs] info: Server is up and running successfully @ port: 3000
2023-05-18 01:20:58 [api-server logs] info: Server is up and running successfully @ port: 3000
2023-05-18 01:21:06 [api-server logs] info: Server is up and running successfully @ port: 3000
2023-05-18 01:21:11 [api-server logs] info: Server is up and running successfully @ port: 3000
2023-05-18 01:26:12 [api-server logs] info: Server is up and running successfully @ port: 3000
2023-05-18 01:26:14 [api-server logs] info: Server is up and running successfully @ port: 3000
2023-05-18 01:26:16 [api-server logs] info: Server is up and running successfully @ port: 3000
